t;u;ref_dx;ref_psi;dx;theta;psi
0.0000;285;0.0000;0.0000;10.0980;-0.0137;0.0000
0.0049;136;0.0000;0.0000;5.0490;-0.0239;0.0001
0.0087;-25;0.0000;0.0000;2.5806;-0.0749;0.0003
0.0127;-276;0.0000;0.0000;1.3838;-0.2278;0.0010
0.0167;-267;0.0000;0.0000;0.7106;-0.3630;0.0019
0.0199;518;0.0000;0.0000;0.2805;-0.1110;0.0014
0.0237;-147;0.0000;0.0000;-0.0094;-0.1804;0.0020
0.0268;262;0.0000;0.0000;-0.0795;-0.0501;0.0000
0.0300;221;0.0000;0.0000;-0.0397;0.0572;-0.0001
0.0347;107;0.0000;0.0000;0.0175;0.1063;0.0013
0.0387;-198;0.0000;0.0000;0.1771;0.0048;0.0015
0.0431;-223;0.0000;0.0000;0.2942;-0.1080;0.0005
0.0463;-39;0.0000;0.0000;0.2032;-0.1287;0.0018
0.0501;-164;0.0000;0.0000;0.0268;-0.2063;0.0007
0.0535;245;0.0000;0.0000;-0.1362;-0.0828;0.0005
0.0571;131;0.0000;0.0000;-0.2551;-0.0152;-0.0008
0.0603;115;0.0000;0.0000;-0.1836;0.0424;0.0000
0.0636;116;0.0000;0.0000;-0.0544;0.0972;-0.0032
0.0667;84;0.0000;0.0000;0.1037;0.1333;-0.0025
0.0707;-6;0.0000;0.0000;0.2762;0.1221;-0.0038
0.0747;-26;0.0000;0.0000;0.3812;0.0999;-0.0066
0.0787;20;0.0000;0.0000;0.3402;0.1013;-0.0056
0.0827;-102;0.0000;0.0000;0.1514;0.0463;-0.0095
0.0867;105;0.0000;0.0000;0.0570;0.0943;-0.0098
0.0898;100;0.0000;0.0000;0.0098;0.1393;-0.0140
0.0937;-75;0.0000;0.0000;0.0423;0.0983;-0.0133
0.0977;-6;0.0000;0.0000;0.1334;0.0899;-0.0155
0.1008;68;0.0000;0.0000;0.1415;0.1178;-0.0161
0.1039;-42;0.0000;0.0000;0.0894;0.0922;-0.0170
0.1080;-10;0.0000;0.0000;0.0821;0.0831;-0.0168
0.1115;-14;0.0000;0.0000;0.0785;0.0722;-0.0174
0.1145;9;0.0000;0.0000;0.0018;0.0743;-0.0182
0.1178;57;0.0000;0.0000;-0.0926;0.1007;-0.0176
0.1210;90;0.0000;0.0000;-0.0837;0.1421;-0.0172
0.1243;68;0.0000;0.0000;-0.0044;0.1707;-0.0174
0.1274;-2;0.0000;0.0000;0.1287;0.1628;-0.0159
0.1310;53;0.0000;0.0000;0.2700;0.1801;-0.0157
0.1357;0;0.0000;0.0000;0.3220;0.1703;-0.0144
0.1388;-37;0.0000;0.0000;0.2545;0.1437;-0.0149
0.1431;-75;0.0000;0.0000;0.2395;0.0996;-0.0149
0.1477;36;0.0000;0.0000;0.1384;0.1117;-0.0150
0.1517;-15;0.0000;0.0000;-0.0617;0.1015;-0.0146
0.1557;55;0.0000;0.0000;-0.0308;0.1250;-0.0148
0.1597;69;0.0000;0.0000;0.0033;0.1545;-0.0154
0.1631;38;0.0000;0.0000;0.0390;0.1679;-0.0138
0.1663;-8;0.0000;0.0000;0.1317;0.1572;-0.0136
0.1701;25;0.0000;0.0000;0.2716;0.1608;-0.0126
0.1734;-48;0.0000;0.0000;0.2854;0.1286;-0.0128
0.1771;-48;0.0000;0.0000;0.2175;0.0980;-0.0103
0.1803;-61;0.0000;0.0000;0.1461;0.0630;-0.0102
0.1834;-35;0.0000;0.0000;0.0357;0.0430;-0.0091
0.1865;3;0.0000;0.0000;-0.0757;0.0438;-0.0086
0.1899;42;0.0000;0.0000;-0.1874;0.0647;-0.0095
0.1932;61;0.0000;0.0000;-0.1685;0.0944;-0.0091
0.1976;54;0.0000;0.0000;-0.0282;0.1178;-0.0092
0.2009;-8;0.0000;0.0000;0.1168;0.1082;-0.0093
0.2051;-44;0.0000;0.0000;0.2828;0.0792;-0.0086
0.2085;-58;0.0000;0.0000;0.2910;0.0437;-0.0106
0.2127;-44;0.0000;0.0000;0.1081;0.0183;-0.0084
0.2168;-63;0.0000;0.0000;-0.0768;-0.0128;-0.0078
0.2210;34;0.0000;0.0000;-0.2628;0.0068;-0.0090
0.2245;54;0.0000;0.0000;-0.2810;0.0359;-0.0069
0.2279;54;0.0000;0.0000;-0.2153;0.0631;-0.0105
0.2310;52;0.0000;0.0000;-0.0890;0.0870;-0.0101
0.2343;-29;0.0000;0.0000;0.0864;0.0682;-0.0091
0.2381;-59;0.0000;0.0000;0.2115;0.0340;-0.0076
0.2414;27;0.0000;0.0000;0.1993;0.0422;-0.0100
0.2447;-38;0.0000;0.0000;0.0435;0.0207;-0.0081
0.2481;-59;0.0000;0.0000;-0.0156;-0.0092;-0.0099
0.2526;29;0.0000;0.0000;-0.0826;0.0052;-0.0110
0.2560;11;0.0000;0.0000;-0.1722;0.0118;-0.0104
0.2594;10;0.0000;0.0000;-0.1796;0.0183;-0.0114
0.2639;37;0.0000;0.0000;-0.0150;0.0347;-0.0112
0.2672;47;0.0000;0.0000;0.1047;0.0541;-0.0128
0.2703;-33;0.0000;0.0000;0.2393;0.0319;-0.0124
0.2731;-62;0.0000;0.0000;0.2506;-0.0039;-0.0113
0.2757;-51;0.0000;0.0000;0.2188;-0.0329;-0.0112
0.2787;23;0.0000;0.0000;0.1468;-0.0241;-0.0107
0.2817;-100;0.0000;0.0000;0.0173;-0.0732;-0.0116
0.2847;-82;0.0000;0.0000;-0.0101;-0.1127;-0.0101
