t;V;DeltaV;ref_dx;ref_psi;x;dx;theta;psi
0.0000;-266.6635;0.0029;0.0000;0.0000;0.0059;0.9911;-0.1213;0.0018
0.1500;16.0021;0.0435;0.0000;0.0000;-0.0045;-0.0963;-0.0156;0.0219
0.3000;4.1137;0.0799;0.0000;0.0000;-0.0103;0.1434;0.0272;0.0388
0.4500;-11.0138;-0.0257;0.0000;0.0000;-0.0129;-0.0953;0.0124;-0.0288
0.6000;1.0892;-0.0077;0.0000;0.0000;-0.0164;-0.0138;0.0153;-0.0118
0.7500;-17.2482;0.0010;0.0000;0.0000;-0.0203;0.0311;0.0123;-0.0055
0.9000;17.8325;-0.0005;0.0000;0.0000;-0.0245;-0.0472;0.0321;-0.0038
1.0500;-12.5151;0.0535;0.0000;0.0000;-0.0098;0.2189;-0.0187;0.0278
1.2000;6.7529;0.0529;0.0000;0.0000;0.0000;-0.0648;-0.0168;0.0230
1.3500;-1.0407;0.1019;0.0000;0.0000;0.0193;0.3683;-0.0298;0.0470
1.5000;-7.3384;0.1003;0.0000;0.0000;0.0334;-0.0632;-0.0602;0.0372
1.6510;16.9057;0.0674;0.0000;0.0000;0.0348;-0.0989;-0.0244;0.0113
1.8010;9.4148;0.0341;0.0000;0.0000;0.0334;0.0633;-0.0277;-0.0095
1.9510;2.4889;0.0594;0.0000;0.0000;0.0219;-0.1228;-0.0076;0.0073
2.1010;5.7390;0.1140;0.0000;0.0000;0.0077;0.1239;0.0434;0.0364
2.2510;-5.6459;0.1132;0.0000;0.0000;0.0118;0.1402;-0.0093;0.0300
2.4010;4.9845;0.1345;0.0000;0.0000;0.0195;-0.1147;-0.0244;0.0376
2.5510;23.5272;0.1318;0.0000;0.0000;0.0433;0.0926;-0.0318;0.0287
2.7020;29.5808;0.1334;0.0000;0.0000;0.0845;0.3839;-0.0766;0.0239
2.8520;1.6408;0.1059;0.0000;0.0000;0.1205;0.2897;-0.1149;0.0041
3.0020;1.8605;0.0428;0.0000;0.0000;0.1484;0.3211;-0.1468;-0.0351
3.1520;-8.0127;0.0238;0.0000;0.0000;0.1530;-0.1733;-0.1403;-0.0390
3.3020;4.9004;0.0560;0.0000;0.0000;0.1356;-0.3494;-0.0823;-0.0133
3.4520;0.9556;0.0817;0.0000;0.0000;0.1091;-0.0126;-0.0191;0.0038
3.6020;-16.7491;0.0884;0.0000;0.0000;0.0820;-0.0642;-0.0068;0.0071
3.7530;-0.6816;0.1159;0.0000;0.0000;0.0554;-0.2326;0.0098;0.0218
3.9030;7.9607;0.0825;0.0000;0.0000;0.0396;-0.2349;0.0114;-0.0013
4.0530;7.0692;0.0754;0.0000;0.0000;0.0465;0.2713;0.0228;-0.0057
4.2030;18.5463;0.0269;0.0000;0.0000;0.0787;0.2230;-0.0777;-0.0327
4.3530;11.4755;0.0369;0.0000;0.0000;0.1043;0.0533;-0.1172;-0.0211
4.5030;1.3276;-0.0113;0.0000;0.0000;0.1388;0.2205;-0.1385;-0.0463
4.6530;1.1031;-0.0841;0.0000;0.0000;0.1675;0.3427;-0.1585;-0.0808
4.8040;-3.4938;-0.0842;0.0000;0.0000;0.1827;0.0158;-0.1905;-0.0656
4.9540;8.7581;-0.0283;0.0000;0.0000;0.1657;-0.3751;-0.1232;-0.0218
5.1040;-4.5312;-0.0149;0.0000;0.0000;0.1392;-0.1678;-0.0655;-0.0112
5.2540;2.4250;0.0196;0.0000;0.0000;0.1074;-0.1441;-0.0125;0.0123
5.4040;-19.4412;0.0706;0.0000;0.0000;0.0724;-0.1449;0.0092;0.0397
5.5540;1.4012;0.1084;0.0000;0.0000;0.0485;-0.3526;0.0185;0.0547
5.7040;9.7907;0.1148;0.0000;0.0000;0.0364;0.1178;0.0475;0.0488
5.8540;-30.3129;0.0582;0.0000;0.0000;0.0611;0.1260;-0.0242;0.0086
6.0060;3.4358;0.0687;0.0000;0.0000;0.0926;0.1666;-0.0967;0.0140
6.1560;11.6903;0.0293;0.0000;0.0000;0.1328;0.1729;-0.1343;-0.0113
6.3060;13.6910;0.0006;0.0000;0.0000;0.1733;0.3009;-0.1698;-0.0262
6.4560;8.4127;-0.1118;0.0000;0.0000;0.2051;0.3075;-0.1938;-0.0872
6.6060;-8.0546;-0.2035;0.0000;0.0000;0.2168;-0.0989;-0.1920;-0.1240
6.7560;-5.3671;-0.1665;0.0000;0.0000;0.2064;0.0162;-0.1455;-0.0801
6.9060;-4.7496;-0.0834;0.0000;0.0000;0.1646;-0.3817;-0.0841;-0.0175
7.0570;-4.3865;0.0221;0.0000;0.0000;0.1120;-0.1778;0.0235;0.0459
7.2070;-32.3908;0.0844;0.0000;0.0000;0.0595;-0.4771;0.0386;0.0731
